System,Agent / Use Case,Direction,Agent Interface,Underlying Transport,Data Format,Auth Model,Auth Owner (Novartis),RBAC Considerations,Key Entities / Fields,Volume Estimate,Freshness Requirement,Data Residency,API Maturity,Sample Data Available,Known Constraints,Environment Availability,Product Owner (Novartis),Dependency on Other Systems,Dependency on Novartis Actions,Open Questions,Notes
Veeva Vault PromoMats (VVPM),UC-4 Knowledge Discovery,Read,TBD,REST API (assumed),JSON (assumed),OAuth2 (assumed),TBD,Agent reads approved assets only — role must enforce approval-status filter,Asset ID; metadata fields; binary content URL; approval status; claim blocks; market; expiry date,1000s,On-demand,TBD — confirm AU data residency,Stable & documented (assumed — Veeva has public API docs),TBD,Rate limits unknown; approval-status governance filter required,TBD,TBD (multi-timezone),None,API access provisioning; confirm sandbox availability,What Vault API version is in use? Is there a sandbox with realistic data?,Veeva has well-documented REST APIs. Likely lowest-risk integration for UC-4.
Veeva Vault PromoMats (VVPM),UC-5 Content Generation,Read,TBD,REST API (assumed),JSON (assumed),OAuth2 (assumed),TBD,Agent reads templates and approved claims only,Templates; content blocks; claim libraries; product references; approved copy,1000s,On-demand,TBD,Stable & documented (assumed),TBD,Must only surface approved/valid content; expiry filtering required,TBD,TBD (multi-timezone),None,API access provisioning; confirm claim library API endpoints,Are claim libraries exposed via the same Vault API or a separate endpoint?,Source for compliant reference material and approved copy.
Veeva Vault PromoMats (VVPM),UC-10 Asset Tagging,Read + Write,TBD,REST API (assumed),JSON (assumed),OAuth2 (assumed),TBD,Write-back of tags requires elevated permissions; human-in-the-loop approval before commit,Asset ID; metadata fields (30+ per asset); content type; therapy area; audience; key message,1000s,Batch (minutes),TBD,Stable & documented (assumed),TBD,Write-back requires governance approval workflow; 30+ metadata fields per asset,TBD,TBD (multi-timezone),None,Write-back permission model; confirm tag approval workflow,What is the approval process for AI-suggested tags before they are written back? Is there a staging/draft state for metadata?,High-risk interaction — write-back to a compliance-governed system. Needs explicit governance sign-off.
Aprimo / Fuse,UC-4 Knowledge Discovery,Read,TBD,REST API (assumed),JSON (assumed),TBD,TBD,Read-only access to approved digital assets,Asset ID; metadata; thumbnail URL; content type; therapy area; usage rights,1000s,On-demand,TBD,TBD — confirm documentation quality,TBD,Unknown,TBD,TBD,None,API documentation access; confirm auth model,What is the Aprimo API maturity? Is there a developer portal?,DAM platform — expected to have REST API but maturity unconfirmed.
Aprimo / Fuse,UC-5 Content Generation,Read,TBD,REST API (assumed),JSON (assumed),TBD,TBD,Read-only access to content blocks and templates,Content blocks; modular templates; approved imagery; brand guidelines,1000s,On-demand,TBD,TBD,TBD,Unknown,TBD,TBD,None,API access provisioning,Can content blocks be retrieved individually or only as part of an asset?,Feeds approved content into the generation pipeline.
Aprimo / Fuse,UC-10 Asset Tagging,Read + Write,TBD,REST API (assumed),JSON (assumed),TBD,TBD,Write-back of tags — confirm permission model,Asset ID; metadata fields; content type; therapy area; audience; key message; usage context,1000s,Batch (minutes),TBD,TBD,Write-back governance — same concern as VVPM,TBD,TBD,None,Write-back permission model; tag approval workflow,Does Aprimo support a draft/pending state for metadata updates?,Second DAM system requiring tag write-back. Same governance pattern as VVPM needed.
SharePoint,UC-4 Knowledge Discovery,Read,TBD,Microsoft Graph API,JSON,OAuth2 (Microsoft Entra ID),TBD,Agent reads strategy and journey documents — scoped to specific site/library,Document ID; title; content; metadata; folder path; last modified,1000s,On-demand,TBD — likely AU tenant,Stable & documented (Microsoft Graph is well-documented),TBD,Depends on G Drive migration completing; document library structure may be in flux,TBD,TBD,G Drive migration must be complete,Confirm target site/library structure post-migration; confirm Graph API permissions,Blocked until G Drive → SharePoint migration is done. MCP server for SharePoint exists in ecosystem — evaluate fit.
Sherlock,UC-4 Knowledge Discovery,Read,TBD,TBD — unknown,TBD,TBD,TBD,Read-only access to strategy and journey documents,Strategy documents; journey maps; planning artefacts,100s (assumed),On-demand,TBD,Unknown — internal Novartis tool,TBD,Internal tool — API may not exist; may require custom integration or file export,TBD,TBD,None,Confirm API exists; confirm integration is feasible within PoC timeline,Is Sherlock accessible via API? If not what is the alternative access pattern (file export? manual upload?)?,HIGH RISK. Internal Novartis tool with unknown API maturity. Needs early discovery.
Customer Data Hub / Snowflake,UC-4 Knowledge Discovery,Read,TBD,SQL / REST API,JSON / Tabular,Service account (assumed),TBD,Read-only access to campaign performance and engagement data,Campaign ID; audience segment; engagement metrics; performance KPIs; time period,Millions,On-demand or near-real-time (<30s),TBD,Stable & documented (Snowflake is well-documented),TBD,Query complexity limits; compute costs; data freshness lag from source systems,TBD,TBD,None,Confirm access provisioning; confirm which schemas/views are available,What Snowflake role/warehouse will the agent use? Are there pre-built views for campaign performance?,Established data platform. Low technical risk. Confirm access model.
Customer Data Hub / Snowflake,UC-5 Content Generation,Read,TBD,SQL / REST API,JSON / Tabular,Service account (assumed),TBD,Read-only — audience context and performance data to guide content generation,Audience segments; engagement history; campaign performance by segment; channel preferences,Millions,On-demand,TBD,Stable & documented,TBD,Same as UC-4,TBD,TBD,None,Same as UC-4,Same access path as UC-4 — may use different views/queries for audience context.,Provides audience context to inform content tone and relevance.
